HIOS Issuer ID,Service Area ID,Service Area Name,State,County Name,Partial County,Service Area Zip Code (s) ,Partial County Justification,Market
30609,TXS001,Service Area One,No,BRAZORIA,No,,,Individual
30609,TXS001,Service Area One,No,FORT BEND,No,,,Individual
30609,TXS001,Service Area One,No,GALVESTON,No,,,Individual
30609,TXS001,Service Area One,No,HARRIS,No,,,Individual
30609,TXS001,Service Area One,No,MONTGOMERY,No,,,Individual
30609,TXS001,Service Area One,No,WALKER,No,,,Individual
30609,TXS001,Service Area One,No,WALLER,No,,,Individual
30609,TXS001,Service Area One,No,WHARTON,No,,,Individual
87226,TXS001,Ambetter from Superior Healthplan 1 Value,No,TRAVIS,No,,,Individual
87226,TXS001,Ambetter from Superior Healthplan 1 Value,No,WILLIAMSON,No,,,Individual
87226,TXS002,Ambetter from Superior Healthplan 2 Value,No,COLLIN,No,,,Individual
87226,TXS002,Ambetter from Superior Healthplan 2 Value,No,DALLAS,No,,,Individual
87226,TXS002,Ambetter from Superior Healthplan 2 Value,No,DENTON,No,,,Individual
87226,TXS002,Ambetter from Superior Healthplan 2 Value,No,ROCKWALL,No,,,Individual
87226,TXS002,Ambetter from Superior Healthplan 2 Value,No,TARRANT,No,,,Individual
87226,TXS003,Ambetter from Superior Healthplan 3 Value,No,FORT BEND,No,,,Individual
87226,TXS003,Ambetter from Superior Healthplan 3 Value,No,HARRIS,No,,,Individual
87226,TXS003,Ambetter from Superior Healthplan 3 Value,No,MONTGOMERY,No,,,Individual
87226,TXS004,Ambetter from Superior Healthplan 4 Value,No,BEXAR,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,ANDREWS,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,ARANSAS,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,ARMSTRONG,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,ATASCOSA,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,AUSTIN,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,BANDERA,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,BASTROP,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,BELL,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,BEXAR,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,BLANCO,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,BOSQUE,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,BRAZORIA,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,BRAZOS,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,BREWSTER,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,BROOKS,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,BROWN,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,BURLESON,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,BURNET,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,CALDWELL,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,CALHOUN,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,CAMERON,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,CAMP,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,CARSON,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,CASTRO,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,CHAMBERS,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,CHEROKEE,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,COKE,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,COLEMAN,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,COLLIN,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,COLLINGSWORTH,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,COLORADO,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,COMAL,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,COMANCHE,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,CONCHO,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,COOKE,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,DALLAM,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,DALLAS,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,DEAF SMITH,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,DELTA,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,DENTON,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,DE WITT,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,DONLEY,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,ECTOR,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,EDWARDS,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,ELLIS,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,EL PASO,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,FALLS,No,,,Individual
87226,TXS005,Ambetter from Superior Healthplan 5 Virtual,No,FANNIN,No,,,Individual
