Plan ID,Rate Effective Date,Rate Expiration Date,Age,Tobacco,Rating Area ID,Individual Rate,Individual Tobacco Rate,Couple,Primary Subscriber and One Dependent,Primary Subscriber and Two Dependents,Primary Subscriber and Three Dependents,Couple and One Dependent,Couple and Two Dependents,Couple and Three Dependents,HIOS Issuer ID,Market Coverage
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 1,386.67,386.67,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 10,360.01,360.01,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 11,353.72,353.72,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 12,304.85,304.85,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 13,294.79,294.79,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 15,278.15,278.15,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 16,267.64,267.64,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 17,395.77,395.77,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 18,349.89,349.89,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 19,375.23,375.23,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 2,322.32,322.32,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 20,341.28,341.28,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 21,326.96,326.96,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 22,362.94,362.94,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 23,356.11,356.11,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 24,384.00,384.00,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 25,390.06,390.06,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 26,342.31,342.31,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 27,358.69,358.69,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 3,420.82,420.82,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 4,333.60,333.60,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 5,361.40,361.40,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 6,322.64,322.64,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 7,343.54,343.54,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 8,394.96,394.96,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 9,359.08,359.08,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 1,421.05,421.05,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 10,392.01,392.01,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 11,385.17,385.17,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 12,331.94,331.94,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 13,320.99,320.99,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 15,302.87,302.87,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 16,291.43,291.43,,,,,,,,29418,Individual
29418TX0140019,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 17,430.95,430.95,,,,,,,,29418,Individual
